61,1529569830.54813,38733,1900,10.1.80.85,239.255.255.250,0,udp,1900,OTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,1529569830.54813,38733,1900,10.1.80.85,239.255.255.250,1.000883,udp,1900,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0.015152,0,0,0,0,0
118,1529569830.54813,38733,1900,10.1.80.85,239.255.255.250,2.000915,udp,1900,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.5,0.5,0,0,1,0,0,2,2,1,0,0.02,0,0.5,0.5,0,0
141,1529569830.54813,38733,1900,10.1.80.85,239.255.255.250,3.001122,udp,1900,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,3,3,1,0,0.03,0,0.666667,0.666667,0,0
343,1529569863.5926,54053,1900,10.1.80.85,239.255.255.250,0,udp,1900,OTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
344,1529569863.5926,54053,1900,10.1.80.85,239.255.255.250,1.000171,udp,1900,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0.01,0,0,0,0,0
365,1529569863.5926,54053,1900,10.1.80.85,239.255.255.250,2.001116,udp,1900,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.5,0.5,0,0,1,0,0,2,2,1,0,0.02,0,0.5,0.5,0,0
370,1529569863.5926,54053,1900,10.1.80.85,239.255.255.250,3.002213,udp,1900,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,3,3,1,0,0.03,0,0.666667,0.666667,0,0
526,1529569983.59357,46799,1900,10.1.80.85,239.255.255.250,0,udp,1900,OTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
527,1529569983.59357,46799,1900,10.1.80.85,239.255.255.250,1.000766,udp,1900,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0.01,0,0,0,0,0
528,1529569983.59357,46799,1900,10.1.80.85,239.255.255.250,2.001335,udp,1900,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.5,0.5,0,0,1,0,0,2,2,1,0,0.02,0,0.5,0.5,0,0
529,1529569983.59357,46799,1900,10.1.80.85,239.255.255.250,3.002558,udp,1900,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.666667,0.666667,0,0,1,0,0,3,3,1,0,0.03,0,0.666667,0.666667,0,0
683,1529570103.59472,41120,1900,10.1.80.85,239.255.255.250,0,udp,1900,OTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
684,1529570103.59472,41120,1900,10.1.80.85,239.255.255.250,1.001006,udp,1900,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0.01,0,0,0,0,0
690,1529570103.59472,41120,1900,10.1.80.85,239.255.255.250,2.001489,udp,1900,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.5,0.5,0,0,1,0,0,2,2,1,0,0.02,0,0.5,0.5,0,0
691,1529570103.59472,41120,1900,10.1.80.85,239.255.255.250,3.00185,udp,1900,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.666667,0.666667,0,0,1,0,0,3,3,1,0,0.03,0,0.666667,0.666667,0,0
772,1529570223.59492,53300,1900,10.1.80.85,239.255.255.250,0,udp,1900,OTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,0,0,0,0.75,0.75,0,0
773,1529570223.59492,53300,1900,10.1.80.85,239.255.255.250,1.000838,udp,1900,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,5,5,1,0,0.01,0,0.6,0.6,0,0
774,1529570223.59492,53300,1900,10.1.80.85,239.255.255.250,2.001336,udp,1900,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.5,0.5,0,0,1,0,0,6,6,1,0,0.02,0,0.666667,0.666667,0,0
775,1529570223.59492,53300,1900,10.1.80.85,239.255.255.250,3.002164,udp,1900,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.666667,0.666667,0,0,1,0,0,7,7,1,0,0.03,0,0.714286,0.714286,0,0
809,1529570343.59628,41502,1900,10.1.80.85,239.255.255.250,0,udp,1900,OTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,0,0,0,0.75,0.75,0,0
810,1529570343.59628,41502,1900,10.1.80.85,239.255.255.250,1.000103,udp,1900,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,5,5,1,0,0.01,0,0.6,0.6,0,0
811,1529570343.59628,41502,1900,10.1.80.85,239.255.255.250,2.001201,udp,1900,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.5,0.5,0,0,1,0,0,6,6,1,0,0.02,0,0.666667,0.666667,0,0
812,1529570343.59628,41502,1900,10.1.80.85,239.255.255.250,3.001951,udp,1900,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.666667,0.666667,0,0,1,0,0,7,7,1,0,0.03,0,0.714286,0.714286,0,0
